format,commodity,scale,n,F
1/X (shekel per unit),SESAME,monthly,55.0,0.11526295645345355
1/X (shekel per unit),SESAME,annual,12.0,0.02271550024659948
1/X (shekel per unit),SESAME,annual,13.0,0.02917543718763755
1/X (shekel per unit),SESAME,annual,14.0,0.024721753608444492
1/X (shekel per unit),SESAME,annual,15.0,0.029933448016247484
1/X (shekel per unit),SESAME,annual,16.0,0.02988256936166196
1/X (shekel per unit),SESAME,annual,17.0,0.03133346266720525
1/X (shekel per unit),SESAME,annual,18.0,0.031621707581914474
1/X (shekel per unit),SESAME,annual,19.0,0.030747608912138458
1/X (shekel per unit),SESAME,annual,20.0,0.03428043962101275
1/X (shekel per unit),SESAME,annual,21.0,0.03705662139442932
1/X (shekel per unit),SESAME,annual,22.0,0.03701729209541063
1/X (shekel per unit),SESAME,annual,23.0,0.03536717688425779
1/X (shekel per unit),SESAME,annual,24.0,0.038393087234191124
1/X (shekel per unit),SESAME,annual,25.0,0.0416495501381641
1/X (shekel per unit),SESAME,annual,26.0,0.043941193820292344
1/X (shekel per unit),SESAME,annual,27.0,0.051242903679394734
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,12.0,0.14804282156684095
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,13.0,0.18492198332447934
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,14.0,0.1816132350089752
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,15.0,0.19548066878896575
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,16.0,0.21323878202031063
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,17.0,0.2092229193304569
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,18.0,0.23380992119755328
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,20.0,0.29976507310895284
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,21.0,0.26897700570119853
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,23.0,0.31192602835035205
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,25.0,0.33918463293871864
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,26.0,0.38607576139863675
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,28.0,0.36627478052915424
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,31.0,0.43646216262530324
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,33.0,0.43176493734972554
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,35.0,0.45570160295014567
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,38.0,0.48492352699756797
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,41.0,0.5910903827249202
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,44.0,0.6797275440538743
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,monthly,47.0,0.8094290398460534
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,annual,12.0,0.21515385397756728
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,annual,13.0,0.2364292842825653
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,annual,14.0,0.26614772009574456
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,annual,15.0,0.26410064463995275
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,annual,16.0,0.25691147280202203
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,annual,17.0,0.30526857030282456
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,annual,18.0,0.3056843715296686
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,annual,19.0,0.3095444160825541
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,annual,20.0,0.36922183894663047
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,annual,21.0,0.3531654288156734
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,annual,22.0,0.37988607462418644
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,annual,23.0,0.4049600469356751
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,annual,24.0,0.4416759190213477
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,annual,25.0,0.4571595435576831
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,annual,26.0,0.5004603286933937
